ClubTime                      PlayerTime                    EquipmentTime                 PlayerClubTime                PlayerEquipmentTime           PlayerEquipmentColumnTime     PlayerEquipmentWhereTime      ProcedureTime                 
0.1185205                     0.4991859                     0.0874239                     1.052575                      2.6530437                     0.8400672                     0.0065801                     0.0737347                     
0.0797966                     0.4821314                     0.0848587                     1.0072363                     2.6718702                     0.861916                      0.0079839                     0.0737696                     
0.1180049                     0.4793673                     0.084163                      1.0167762                     2.6674446                     0.8593824                     0.0060639                     0.0735241                     
0.080215                      0.5014294                     0.0611624                     1.0436444                     2.7918229                     0.8780072                     0.0059984                     0.0705546                     
0.1230294                     0.4817554                     0.0832443                     1.0460762                     2.6644295                     0.8760544                     0.0065969                     0.0750414                     
0.1137701                     0.5062414                     0.0495556                     1.023398                      2.7167229                     0.8954258                     0.0063104                     0.0732522                     
0.0784731                     0.4923023                     0.0846643                     1.0648327                     2.744441                      0.8760522                     0.006294                      0.0715837                     
0.112889                      0.5057658                     0.0897611                     1.0149417                     2.6954964                     0.8874404                     0.0065159                     0.0712914                     
0.1231283                     0.488679                      0.083251                      1.019665                      2.6159246                     0.8662547                     0.0061467                     0.0699879                     
0.0823355                     0.4817879                     0.0843443                     1.0210094                     2.7014276                     0.8797031                     0.006319                      0.0716445                     
