ClubTime                      PlayerTime                    EquipmentTime                 PlayerClubTime                PlayerEquipmentTime           PlayerEquipmentColumnTime     PlayerEquipmentWhereTime      ProcedureTime                 
0.0381732                     0.1946599                     0.0153799                     1.8122456                     6.9676857                     6.7714934                     0.0026819                     0.0560475                     
0.078                         0.1981945                     0.0157939                     1.9501477                     7.2149299                     7.024135                      0.0032797                     0.056335                      
0.0794532                     0.1817982                     0.0229242                     1.8038398                     6.9219608                     6.6547417                     0.0033132                     0.0585478                     
0.0410119                     0.2022419                     0.015424                      1.7743437                     6.9944514                     6.8062348                     0.0029052                     0.0585992                     
0.0765269                     0.1922118                     0.0161406                     1.8538949                     6.863922                      6.9532038                     0.0028779                     0.0553843                     
0.0353453                     0.1843182                     0.0164413                     1.8619724                     6.9650123                     6.7251594                     0.0031933                     0.0549662                     
0.0797665                     0.2172771                     0.0163562                     1.9501664                     7.350777                      6.8751191                     0.003238                      0.0568451                     
0.0806312                     0.1816691                     0.0229815                     1.7775322999999998            6.8125679                     6.6563061999999995            0.0030989                     0.0566329                     
0.0777099                     0.1907332                     0.0234172                     1.8176778                     6.8844188                     6.6883012                     0.0030183                     0.0568234                     
0.0421581                     0.1986736                     0.0161501                     1.7926175                     6.9107161999999995            6.7851965                     0.0029119                     0.0579495                     
