ClubTime                      PlayerTime                    EquipmentTime                 PlayerClubTime                PlayerEquipmentTime           PlayerEquipmentColumnTime     PlayerEquipmentWhereTime      ProcedureTime                 
0.0649288                     0.3987649                     0.0510929                     2.5659065                     5.7153371                     5.7484049                     0.0058621                     0.0723086                     
0.0678892                     0.4084674                     0.0532715                     2.4497716                     5.8030434                     5.8381985                     0.0061739                     0.0736347                     
0.0701715                     0.3886375                     0.0877542                     2.5684223                     5.8551631                     5.8545493                     0.00571                       0.0725832                     
0.0699864                     0.3844008                     0.0875197                     2.4719798                     5.7381526                     5.351037                      0.0322802                     0.0729062                     
0.063967                      0.3967889                     0.0876412                     2.4737518                     5.8514499                     5.8784258000000005            0.0055307                     0.0717043                     
0.0667707                     0.4038779                     0.0939197                     2.4796764                     5.9474199                     6.2866107                     0.0889154                     0.0694711                     
0.0645974                     0.4200906                     0.0884869                     2.4840265                     5.8171999                     5.9315073                     0.0057432                     0.0734156                     
0.0646742                     0.4005946                     0.0678951                     2.456481                      5.7718536                     5.7201302                     0.0057867                     0.0704491                     
0.0672243                     0.4105655                     0.0540807                     2.4716814                     5.8006896                     5.8389399                     0.0054681                     0.0726206                     
0.0637326                     0.399609                      0.0908208                     2.6339383                     6.073952                      6.0154386                     0.0060887                     0.0869283                     
