ClubTime                      PlayerTime                    EquipmentTime                 PlayerClubTime                PlayerEquipmentTime           PlayerEquipmentColumnTime     PlayerEquipmentWhereTime      PlayerEquipmentWhereTime      
0.156231                      0.6922964                     0.0923141                     1.0153582                     12.0528246                    5.7521233                     0.0109495                     0.0595232                     
0.1620193                     0.6908686                     0.1283617                     0.9739127                     12.0577487                    5.8574911                     0.0479231                     0.0616635                     
0.1225443                     0.7117922                     0.0986189                     1.03381                       11.7088632                    5.6714957                     0.0472121                     0.0598958                     
0.1608059                     0.7164454                     0.1346889                     1.0067546                     12.4066659                    5.7747078                     0.0517859                     0.0605981                     
0.1594948                     0.7463405                     0.1369085                     0.9999838                     11.8472272                    5.7510921                     0.0510267                     0.0624857                     
0.1527988                     0.7416829                     0.0960765                     1.0545429                     12.1189709                    5.7884089                     0.0478367                     0.0609729                     
0.1274156                     0.7144065                     0.0946261                     0.991951                      12.3893108                    5.8186035                     0.0109606                     0.0609957                     
0.1606799                     0.7200517                     0.1345168                     0.9971939                     11.5834248                    5.8990362                     0.0486022                     0.0599449                     
0.1600108                     0.6936823                     0.1295916                     1.0292248                     12.0152198                    5.8819116000000005            0.0471398                     0.0615024                     
0.1645394                     0.690713                      0.0937141                     1.0130759                     12.3221164                    5.7857326                     0.0477811                     0.0580225                     
